Designator,Mid X,Mid Y,Rotation,Layer
C1,59.186998,-48.226338,0.0,top
C10,42.2962,-51.4781,270.0,top
C11,44.225,-28.75,270.0,top
C12,43.225,-28.75,270.0,top
C13,36.2,-82.95,90.0,top
C14,41.8,-82.95,90.0,top
C15,47.45,-83.0,90.0,top
C16,53.0,-83.05,90.0,top
C17,58.5,-83.02,90.0,top
C18,64.4,-83.1,90.0,top
C19,70.15,-83.1,90.0,top
C2,51.636998,-53.376338,270.0,top
C20,76.25,-83.17,90.0,top
C21,62.112,-42.8804,180.0,top
C22,68.112,-43.6304,0.0,top
C23,62.132,-46.3054,180.0,top
C24,68.182,-47.0554,0.0,top
C25,62.112,-49.7304,180.0,top
C26,68.112,-50.4804,0.0,top
C27,65.8,-69.7802,270.0,top
C28,84.8898,-83.6523,0.0,top
C29,87.6898,-83.6523,180.0,top
C3,53.736998,-39.926338,90.0,top
C30,29.75,-39.215,180.0,top
C4,47.9858,-51.0858,180.0,top
C5,48.9002,-52.0256,180.0,top
C6,43.2868,-51.4781,270.0,top
C7,33.5485,-44.9364,270.0,top
C8,50.886998,-39.926338,90.0,top
C9,37.1516,-52.686,270.0,top
D1,41.576,-73.3515,270.0,top
D10,44.624,-67.484,270.0,top
D11,47.672,-67.484,270.0,top
D12,50.72,-67.484,270.0,top
D13,53.768,-67.4585,270.0,top
D14,56.816,-67.484,270.0,top
D15,59.864,-67.484,270.0,top
D16,62.912,-67.484,270.0,top
D17,41.2524,-42.653,0.0,top
D18,41.2802,-45.1168,0.0,top
D19,34.9482,-50.9482,180.0,top
D2,44.624,-73.326,270.0,top
D3,47.672,-73.326,270.0,top
D4,50.72,-73.294,270.0,top
D5,53.768,-73.328,270.0,top
D6,56.816,-73.328,270.0,top
D7,59.864,-73.326,270.0,top
D8,62.912,-73.326,270.0,top
D9,41.576,-67.5095,270.0,top
F1,34.9607,-52.6982,0.0,top
FB1,49.6622,-53.3972,180.0,top
IC1,46.0,-60.6255,90.0,top
IC2,56.575,-60.6255,90.0,top
J1,115.07055,-35.478,90.0,top
J10,104.188,-67.14,90.0,top
J11,27.1186,-55.4292,270.0,top
J12,99.55,-35.625,270.0,top
J13,99.55,-55.025,270.0,top
J14,99.55,-74.525,270.0,top
J15,68.561,-71.0352,180.0,top
J16,29.75,-34.8,0.0,top
J2,115.05455,-55.0,90.0,top
J3,115.05955,-74.506,90.0,top
J4,83.46,-35.425,90.0,top
J5,69.09,-27.125,270.0,top
J6,38.825,-29.25,90.0,top
J7,49.495,-33.05,90.0,top
J8,104.199,-27.772,90.0,top
J9,104.222,-47.398,90.0,top
R1,33.6884,-57.5496,0.0,top
R10,45.894,-73.834,270.0,top
R11,48.942,-73.834,270.0,top
R12,51.99,-73.836,270.0,top
R13,55.038,-73.836,270.0,top
R14,58.086,-73.836,270.0,top
R15,61.134,-73.834,270.0,top
R16,64.182,-73.834,270.0,top
R17,42.846,-67.992,270.0,top
R18,45.894,-67.992,270.0,top
R19,48.942,-67.992,270.0,top
R2,33.6376,-54.1968,180.0,top
R20,51.99,-67.992,270.0,top
R21,55.038,-67.992,270.0,top
R22,58.086,-67.992,270.0,top
R23,61.134,-67.992,270.0,top
R24,64.182,-67.992,270.0,top
R25,104.8564,-30.1308,180.0,top
R26,104.7548,-49.765,180.0,top
R27,104.7802,-69.4754,180.0,top
R28,59.255,-27.1,90.0,top
R29,59.255,-29.05,90.0,top
R3,45.675,-28.3,0.0,top
R30,107.6,-42.7,180.0,top
R31,107.5742,-61.95,180.0,top
R32,107.578,-78.4,180.0,top
R33,38.2024,-42.653,180.0,top
R34,38.156,-45.1168,180.0,top
R35,37.1516,-50.781,90.0,top
R4,44.675,-30.75,0.0,top
R5,56.2928,-41.9926,0.0,top
R6,107.5,-30.95,180.0,top
R7,107.45,-51.9,180.0,top
R8,107.35,-70.55,180.0,top
R9,42.846,-73.834,270.0,top
SW1,30.1985,-44.9644,180.0,top
SW10,86.3398,-77.8218,0.0,top
SW2,33.886,-80.864,90.0,top
SW3,39.5,-80.878,90.0,top
SW4,45.15,-80.928,90.0,top
SW5,50.7,-80.928,90.0,top
SW6,56.2,-80.942,90.0,top
SW7,62.1,-81.028,90.0,top
SW8,67.85,-81.064,90.0,top
SW9,73.95,-81.05,90.0,top
U1,52.336998,-46.776338,225.0,top
U2,52.705,-28.4,0.0,top
U3,39.7054,-51.3398,0.0,top
U4,33.2734,-69.831,180.0,top
U5,65.112,-42.5304,0.0,top
U6,65.132,-45.9804,0.0,top
U7,65.112,-49.4054,0.0,top
